Sentence ID,Concept ID,Level_4,Level_5
0,C0002170 ,1,0
0,C0586746 ,0,1
1,C0425736 ,0,0
1,C0582140 ,0,1
2,C0456820 ,0,1
2,C0549622 ,0,0
3,C0549622 ,1,1
5,C0037320 ,0,1
5,C0344232 ,1,0
6,C0344232 ,1,0
6,C0558127 ,0,1
7,C0423994 ,0,1
7,C0558185 ,1,0
9,C0425101 ,0,0
9,C0577477 ,0,1
10,C0086769 ,1,0
10,C0700031 ,0,1
13,C0012833 ,0,0
13,C0423994 ,0,1
14,C0012833 ,0,0
14,C0558127 ,0,1
15,C0000765 ,0,1
15,C0010201 ,1,0
17,C0232937 ,0,0
17,C0558077 ,0,1
18,C0558185 ,0,0
18,C0560765 ,0,1
19,C0043094 ,0,1
19,C1262477 ,0,0
20,C0012833 ,0,1
20,C0039231 ,0,0
21,C0042571 ,0,0
21,C0456820 ,0,1
22,C0042571 ,0,0
22,C0522365 ,0,1
23,C0042571 ,0,0
23,C0522365 ,0,1
24,C0151786 ,0,1
24,C0231528 ,1,0
25,C0231403,0,0
25,C0583786 ,0,1
26,C0000765 ,0,0
26,C1562291 ,0,1
28,C0423994 ,0,1
28,C0558185 ,0,0
29,C0043094 ,1,1
31,C0021177 ,0,0
31,C2981158 ,0,1
32,C0344315 ,0,0
32,C0393760 ,0,1
36,C0425712 ,0,1
36,C0578994 ,1,0
37,C0000765 ,0,0
37,C0563158 ,0,1
38,C0701810,1,1
41,C0424431 ,0,0
41,C0584995 ,0,1
42,C0037320 ,0,1
42,C0344232 ,0,0
43,C0424000 ,0,0
43,C0583786 ,0,1
44,C0006325 ,1,0
44,C0558127 ,0,1
45,C0423994 ,0,1
45,C0586741 ,0,0
46,C0455769 ,1,0
46,C0456820 ,0,1
47,C0425082 ,0,1
47,C0581881 ,1,0
48,C0005911 ,0,0
48,C1562291 ,0,1
51,C0000765 ,0,0
51,C1562291 ,0,1
52,C0425766 ,0,0
52,C0812387 ,0,1
53,C0037317 ,0,1
53,C0233494 ,1,0
54,C0000765 ,0,0
54,C0456820 ,0,1
55,C0085633 ,1,1
56,C0424000 ,1,0
56,C0522172 ,0,1
57,C0043094 ,0,0
57,C0917801 ,0,1
58,C0231218,0,1
58,C0558185 ,0,0
59,C0004936 ,0,0
59,C0563158 ,0,1
60,C0235239 ,0,1
61,C0235239 ,0,0
61,C0583786 ,0,1
62,C0004604 ,0,1
62,C0030193 ,1,0
64,C0522172 ,0,1
64,C0578994 ,0,0
65,C0423994 ,0,1
65,C0581879 ,0,0
66,C0424000 ,0,0
66,C1688635 ,0,1
67,C0281856 ,0,1
67,C0423572 ,1,0
68,C0002170 ,1,0
68,C0586746 ,0,1
69,C0425082 ,0,1
69,C0578994 ,0,0
70,C0000765 ,0,0
70,C0583786 ,0,1
71,C0002170 ,0,0
71,C0425082 ,0,1
72,C0338656 ,1,1
73,C0000765 ,0,0
73,C0423994 ,0,1
74,C0314719 ,1,1
75,C0234238 ,0,1
75,C0439814 ,0,0
77,C0558077 ,0,1
77,C0860645 ,0,0
78,C0392674 ,0,0
78,C0917801 ,0,1
79,C0583786 ,0,1
79,C0857087 ,0,0
80,C0000765 ,0,0
80,C0423994 ,0,1
82,C0233408 ,0,1
83,C0000765 ,0,0
83,C0233632 ,0,1
85,C0542476 ,1,0
85,C0558127 ,0,1
86,C0344315 ,0,0
86,C1562291 ,0,1
87,C0000765 ,0,0
87,C0018379 ,0,1
88,C0438696 ,0,0
88,C0522178 ,0,1
89,C0231403,0,1
90,C0011860 ,0,0
90,C0016382 ,0,1
91,C0030252 ,0,0
91,C0037320 ,0,1
92,C0030252 ,0,0
92,C0037320 ,0,1
95,C0036104 ,0,0
95,C0424000 ,0,1
96,C0425082 ,0,1
96,C0425101 ,0,0
98,C0393760 ,0,1
98,C0438696 ,0,0
100,C0041755 ,0,1
100,C0583786 ,0,0
101,C0006325 ,0,0
101,C0456820 ,0,1
102,C0006325 ,1,1
103,C0037320 ,0,1
103,C0424444 ,0,0
104,C0000765 ,0,0
104,C1562291 ,0,1
106,C0423994 ,0,1
106,C0549622 ,0,0
109,C0392171 ,0,0
109,C0583786 ,0,1
110,C0438696 ,0,0
110,C0456820 ,0,1
111,C0150041 ,0,0
111,C0424158 ,0,1
113,C0549622 ,0,0
113,C1562291 ,0,1
115,C0221512 ,0,0
115,C0456820 ,0,1
118,C0000765 ,0,0
118,C1562291 ,0,1
119,C0085633 ,1,1
120,C0000765 ,0,0
120,C0583786 ,0,1
121,C0043094 ,0,0
121,C0231247 ,0,1
123,C0231247 ,0,1
124,C0497406 ,0,0
124,C0563717 ,0,1
125,C2981158 ,0,0
125,C4275267 ,0,1
126,C0583786 ,0,1
126,C2981158 ,0,0
127,C0234019 ,0,1
128,C0030193 ,0,0
128,C0278140 ,0,1
129,C0027497 ,0,0
129,C0456820 ,0,1
130,C0000765 ,0,0
130,C0558127 ,0,1
131,C0021177 ,0,0
131,C2981158 ,0,1
133,C0041755 ,0,0
133,C0413862 ,0,1
134,C0456820 ,0,1
134,C2981158 ,0,0
135,C0857087 ,0,0
135,C4075722 ,0,1
136,C0018681 ,0,0
136,C0578994 ,0,1
137,C0018681 ,0,0
137,C0522172 ,0,1
138,C0583786 ,0,1
139,C0000765 ,0,0
139,C0558127 ,0,1
140,C0018681 ,0,0
140,C0558127 ,0,1
141,C0011860 ,0,1
142,C0002170 ,0,0
142,C0424558 ,0,1
145,C0423044,0,0
145,C0423994 ,0,1
147,C0344315 ,0,0
147,C0424537 ,0,1
148,C0085633 ,0,1
148,C0344315 ,0,0
149,C0423994 ,0,1
149,C0581879 ,0,0
150,C0563158 ,0,1
151,C0558127 ,0,1
151,C0566276 ,0,0
152,C0043094 ,1,1
154,C0344232 ,1,1
155,C0233408 ,0,1
155,C0424565 ,0,0
156,C0423994 ,0,1
156,C0424565 ,1,0
157,C0393761 ,0,0
157,C0456820 ,0,1
158,C0314719 ,0,1
159,C0456820 ,0,1
159,C0683369 ,0,0
160,C0235146 ,0,1
160,C0344315 ,0,0
161,C0558127 ,0,1
161,C0683369 ,0,0
162,C0425101 ,1,0
162,C0557932 ,0,1
163,C0000765 ,0,0
163,C0558185 ,0,1
164,C0018681 ,1,0
164,C0027497 ,0,1
165,C0018681 ,0,0
165,C0583786 ,0,1
170,C0231247 ,0,1
170,C0558261 ,1,0
171,C0234238 ,0,1
172,C0233763 ,0,0
172,C0558127 ,0,1
174,C0036104 ,1,1
175,C0000765 ,0,0
175,C0233632 ,0,1
177,C0000765 ,0,0
177,C0018681 ,0,1
179,C0000765 ,0,0
179,C1562291 ,0,1
180,C0424091 ,0,0
180,C4074950 ,0,1
182,C0000765 ,0,0
182,C0578673 ,0,1
183,C0085632 ,0,0
183,C0456820 ,0,1
184,C0231403,0,0
184,C0231403 ,0,1
185,C0583786 ,0,1
187,C0000765 ,0,0
187,C0423994 ,0,1
189,C0557875 ,0,1
191,C0011991 ,0,0
191,C0234238 ,0,1
194,C0425082 ,0,1
194,C0581879 ,0,0
195,C0030318 ,0,0
195,C0583786 ,0,1
198,C0012833 ,0,1
199,C0011991 ,1,0
199,C1291077 ,0,1
200,C0424000 ,0,1
200,C0438696 ,1,0
202,C0027497 ,0,1
202,C0578994 ,0,0
204,C0000765 ,0,0
204,C0566276 ,0,1
205,C0027497 ,0,0
205,C0423994 ,0,1
206,C0001241 ,1,0
206,C0563158 ,0,1
209,C0000765 ,0,1
209,C0043094 ,1,0
210,C0013473 ,0,0
210,C0020505 ,0,1
211,C0423994 ,0,1
211,C0558185 ,0,0
213,C0000765 ,0,0
213,C0231247 ,0,1
214,C0033893 ,0,1
214,C0427195 ,1,0
217,C0037320 ,0,1
217,C0860645 ,0,0
218,C0020175 ,0,0
218,C0235146 ,0,1
219,C0233794 ,0,1
219,C0701810,1,0
220,C0558219 ,0,1
221,C0003862 ,1,0
221,C0231528 ,0,1
222,C0000765 ,0,0
222,C0577477 ,0,1
223,C0234655 ,0,1
223,C0314719 ,1,0
224,C0033774 ,0,0
224,C0278140 ,0,1
225,C0564821 ,0,1
225,C0702166 ,0,0
226,C0033774 ,0,0
226,C0563717 ,0,1
228,C0456820 ,0,1
228,C0557875 ,0,0
230,C0583786 ,0,1
231,C0558127 ,0,1
231,C4074950 ,0,0
232,C0423994 ,0,1
234,C0233408 ,0,1
234,C3887605 ,0,0
235,C0233408 ,0,1
236,C0000765 ,0,0
236,C1562291 ,0,1
237,C0000765 ,0,0
237,C0694551 ,0,1
238,C0000765 ,0,0
238,C0558127 ,0,1
240,C0043094 ,0,1
241,C0424565 ,0,0
241,C0542313 ,0,1
242,C0000765 ,0,0
242,C3263685 ,0,1
243,C0000765 ,0,0
243,C0423994 ,0,1
246,C0456820 ,0,1
246,C0563717 ,1,0
247,C0043094 ,1,0
247,C1262477 ,0,1
248,C0000765 ,0,0
248,C0563717 ,0,1
250,C0456820 ,0,1
250,C0549622 ,0,0
252,C0425082 ,0,1
252,C0557875 ,0,0
253,C0234019 ,0,0
253,C0542313 ,0,1
254,C0236000 ,0,1
255,C0423994 ,0,1
255,C0455769 ,0,0
257,C0424565 ,0,0
257,C0542313 ,0,1
258,C0000765 ,0,0
258,C0558077 ,0,1
260,C0027497 ,0,0
260,C0085631 ,0,1
261,C0011991 ,0,0
261,C0456820 ,0,1
262,C0000765 ,0,0
262,C0583786 ,0,1
263,C0456820 ,0,1
263,C0549622 ,0,0
264,C0000765 ,0,0
264,C0026961 ,0,1
265,C0344232 ,1,1
270,C0424573 ,0,0
270,C0558127 ,0,1
272,C0558127 ,0,1
272,C0860645 ,0,0
273,C0423994 ,0,1
